web_scraper_order,web_scraper_start_url,city,cost_of_living_index,rank,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
"1770902482-164","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Moscow, Russia","47.5","164","34.1","41.5","40.7","47.3","81.4"
"1770902482-165","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Lodz, Poland","47.3","165","15.4","33.1","40.9","49.9","98.0"
"1770902482-166","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Coimbra, Portugal","47.2","166","20.9","35.5","47.8","42.5","75.8"
"1770902482-167","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Braga, Portugal","46.6","167","21.0","35.2","46.3","43.8","71.2"
"1770902482-168","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Poznan, Poland","46.6","168","19.0","34.2","39.7","47.3","105.3"
"1770902482-169","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bucharest, Romania","46.3","169","15.6","32.6","42.9","53.4","85.4"
"1770902482-170","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Sofia, Bulgaria","46.2","170","18.0","33.6","45.2","47.1","96.1"
"1770902482-171","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Debrecen, Hungary","45.7","171","15.5","32.2","45.5","44.3","71.1"
"1770902482-172","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Varna, Bulgaria","45.5","172","13.0","31.0","46.9","45.6","72.5"
"1770902482-173","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Novi Sad, Serbia","45.0","173","14.3","31.3","41.3","45.3","62.9"
"1770902482-174","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Szczecin, Poland","44.8","174","16.7","32.2","39.2","43.7","101.3"
"1770902482-175","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Katowice, Poland","44.7","175","15.6","31.7","41.6","46.1","101.6"
"1770902482-176","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Cluj-Napoca, Romania","44.6","176","17.4","32.5","42.4","49.1","83.6"
"1770902482-177","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Vladivostok, Russia","44.0","177","16.7","31.9","40.4","43.4","53.6"
"1770902482-178","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Brasov, Romania","43.7","178","17.2","31.9","40.5","49.6","67.9"
"1770902482-179","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Constanta, Romania","43.4","179","14.8","30.7","39.6","52.0","62.9"
"1770902482-180","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Sarajevo, Bosnia And Herzegovina","42.8","180","12.0","29.1","42.7","37.0","66.4"
"1770902482-181","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Podgorica, Montenegro","42.3","181","16.7","30.9","41.1","43.5","72.1"
"1770902482-182","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Timisoara, Romania","41.3","182","11.7","28.1","38.5","46.9","90.8"
"1770902482-183","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Yekaterinburg, Russia","40.7","183","16.2","29.8","37.8","42.5","58.5"
"1770902482-184","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Burgas, Bulgaria","40.6","184","12.9","28.2","42.2","43.0","72.0"
"1770902482-185","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Iasi, Romania","40.5","185","11.7","27.7","39.1","41.2","75.7"
"1770902482-186","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Saint Petersburg, Russia","40.3","186","18.9","30.8","37.4","37.2","74.5"
"1770902482-187","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Plovdiv, Bulgaria","40.1","187","11.8","27.5","42.0","39.1","79.3"
"1770902482-188","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Craiova, Romania","39.9","188","11.0","27.0","37.1","39.7","78.6"
"1770902482-189","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Tyumen, Russia","39.2","189","14.5","28.1","37.9","41.4","57.5"
"1770902482-190","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Sibiu, Romania","38.6","190","12.2","26.8","36.5","43.8","86.5"
"1770902482-191","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Oradea, Romania","38.3","191","8.8","25.1","37.7","40.1","74.6"
"1770902482-192","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Skopje, North Macedonia","38.1","192","9.5","25.3","37.2","32.6","65.5"
"1770902482-193","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Nis, Serbia","37.7","193","8.7","24.8","35.4","34.9","67.3"
"1770902482-194","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Kazan, Russia","36.9","194","13.2","26.3","35.5","35.2","63.1"
"1770902482-195","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Novosibirsk, Russia","36.8","195","12.3","25.9","35.6","33.3","60.8"
"1770902482-196","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Kaliningrad, Russia","36.5","196","11.2","25.2","36.6","34.1","61.1"
"1770902482-197","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Chisinau, Moldova","36.5","197","15.8","27.2","33.8","34.0","56.2"
"1770902482-198","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Ufa, Russia","36.3","198","10.4","24.7","35.0","38.3","61.0"
"1770902482-199","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Samara, Russia","36.2","199","11.1","25.0","32.0","37.4","54.0"
"1770902482-200","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Krasnodar, Russia","36.1","200","12.2","25.5","32.5","35.7","61.8"
"1770902482-201","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Nizhny Novgorod, Russia","36.1","201","13.0","25.8","33.7","38.7","58.7"
"1770902482-202","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Tomsk, Russia","35.8","202","10.7","24.6","36.6","28.7","57.5"
"1770902482-203","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Rostov-on-Don (Rostov-na-donu), Russia","35.7","203","11.3","24.8","33.5","37.6","65.9"
"1770902482-204","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Chelyabinsk, Russia","35.5","204","10.4","24.3","34.7","32.4","51.3"
"1770902482-205","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Stara Zagora, Bulgaria","33.6","205","7.3","21.9","34.8","33.1","105.6"
"1770902482-206","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Perm, Russia","33.3","206","11.2","23.4","34.2","29.5","64.7"
"1770902482-207","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Minsk, Belarus","32.0","207","11.8","23.0","31.5","35.3","70.6"
"1770902482-208","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Kiev (Kyiv), Ukraine","31.9","208","13.7","23.8","32.2","31.0","58.7"
"1770902482-209","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Dnipro, Ukraine","31.0","209","10.3","21.8","28.7","36.6","44.3"
"1770902482-210","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Odessa (Odesa), Ukraine","29.7","210","7.0","19.6","29.5","28.5","46.2"
"1770902482-211","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Lviv, Ukraine","29.5","211","11.0","21.2","29.6","27.4","53.9"
"1770902482-212","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Pristina, Kosovo (Disputed Territory)","28.8","212","8.4","19.7","29.9","25.5","66.4"
"1770902482-213","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Kharkiv, Ukraine","26.9","213","5.5","17.3","27.3","24.8","51.7"
