web_scraper_order,web_scraper_start_url,city,cost_of_living_index,rank,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
"1770902482-38","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Brussels, Belgium","73.5","38","33.1","55.5","72.0","89.6","128.0"
"1770902482-39","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Nice, France","73.4","39","30.2","54.1","78.4","75.7","96.5"
"1770902482-40","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Heidelberg, Germany","73.4","40","34.4","56.0","68.5","68.9","114.9"
"1770902482-41","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Gent, Belgium","73.2","41","26.7","52.5","70.7","89.9","123.8"
"1770902482-42","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Milan, Italy","73.1","42","41.4","58.9","70.3","78.2","83.5"
"1770902482-43","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Edinburgh, United Kingdom","73.0","43","37.9","57.3","65.6","84.2","118.6"
"1770902482-44","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","The Hague (Den Haag), Netherlands","72.3","44","43.8","59.6","67.6","79.3","147.5"
"1770902482-45","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Lyon, France","72.2","45","22.8","50.2","79.4","66.2","126.1"
"1770902482-46","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Cork, Ireland","72.2","46","45.3","60.2","74.5","77.4","116.5"
"1770902482-47","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Galway, Ireland","71.9","47","51.9","63.0","71.2","79.7","93.2"
"1770902482-48","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Hamburg, Germany","71.9","48","32.4","54.2","63.8","75.1","142.3"
"1770902482-49","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Wiesbaden, Germany","71.7","49","26.3","51.5","65.9","76.9","131.2"
"1770902482-50","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Eindhoven, Netherlands","71.7","50","36.0","55.8","65.5","79.1","139.8"
"1770902482-51","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Antwerp, Belgium","71.6","51","24.3","50.5","67.6","89.4","119.1"
"1770902482-52","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Darmstadt, Germany","71.6","52","28.8","52.5","68.0","71.4","137.1"
"1770902482-53","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Stuttgart, Germany","71.5","53","30.1","53.0","66.6","72.4","144.2"
"1770902482-54","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Cologne, Germany","71.4","54","29.1","52.5","66.5","71.7","130.9"
"1770902482-55","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Reading, United Kingdom","71.3","55","40.4","57.5","62.5","83.7","124.1"
"1770902482-56","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Graz, Austria","71.3","56","20.3","48.5","72.7","71.6","124.5"
"1770902482-57","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Leiden, Netherlands","71.2","57","36.3","55.6","67.1","72.8","157.4"
"1770902482-58","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bristol, United Kingdom","71.1","58","42.2","58.2","65.8","79.9","113.8"
"1770902482-59","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Augsburg, Germany","70.9","59","25.1","50.4","66.6","72.3","137.0"
