Id,Label,City,Country,Rank,Rent Index,Cost of Living & Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Estimated Beer Price (€)
Athens,Athens,Athens, Greece,128,18.2,40.2,55.1,62.9,66.1,4.5
Heraklion,Heraklion,Heraklion, Greece,132,16.6,38.1,53.9,53.3,62.2,4.5
Thessaloniki,Thessaloniki,Thessaloniki, Greece,141,14.2,35.9,50.3,61.1,62.7,4.5
Budapest,Budapest,Budapest, Hungary,149,20.3,37.3,47.8,50.5,84.9,2.5
Pecs,Pecs,Pecs, Hungary,162,13.4,32.7,48.7,44.7,57.4,2.5
Debrecen,Debrecen,Debrecen, Hungary,171,15.5,32.2,45.5,44.3,71.1,2.5
Reykjavik,Reykjavik,Reykjavik, Iceland,7,50.1,77.1,105.2,109.3,109.0,9.5
Dublin,Dublin,Dublin, Ireland,23,59.7,69.1,71.7,89.2,114.6,6.5
Cork,Cork,Cork, Ireland,46,45.3,60.2,74.5,77.4,116.5,6.5
Galway,Galway,Galway, Ireland,47,51.9,63.0,71.2,79.7,93.2,6.5
Limerick,Limerick,Limerick, Ireland,87,41.5,55.9,72.0,70.4,119.0,6.5
Milan,Milan,Milan, Italy,42,41.4,58.9,70.3,78.2,83.5,5.5
Florence,Florence,Florence, Italy,68,31.0,52.3,73.1,75.3,75.9,5.5
Brescia,Brescia,Brescia, Italy,70,22.7,48.5,71.3,77.3,80.7,5.5
Bologna,Bologna,Bologna, Italy,81,27.1,49.9,71.0,72.6,84.4,5.5
Treviso,Treviso,Treviso, Italy,95,23.4,47.3,63.6,76.0,77.8,5.5
Bolzano-Bozen,Bolzano-Bozen,Bolzano-Bozen, Italy,97,24.4,47.6,60.6,73.3,101.3,5.5
Padova,Padova,Padova, Italy,107,23.6,46.1,63.6,67.5,85.6,5.5
Trento,Trento,Trento, Italy,108,23.8,46.1,59.7,72.5,85.7,5.5
Rome,Rome,Rome, Italy,109,34.9,50.7,64.9,63.5,84.3,5.5
Cagliari,Cagliari,Cagliari, Italy,112,21.2,44.3,65.8,72.3,80.5,5.5
Genoa,Genoa,Genoa, Italy,114,20.0,43.4,65.8,65.9,91.6,5.5
Trieste,Trieste,Trieste, Italy,115,19.8,43.0,62.3,63.7,84.7,5.5
Bergamo,Bergamo,Bergamo, Italy,116,20.0,42.8,61.8,65.5,103.4,5.5
Turin,Turin,Turin, Italy,117,19.5,42.0,62.1,62.0,95.3,5.5
Reggio Nell'emilia,Reggio Nell'emilia,Reggio Nell'emilia, Italy,120,16.9,40.6,60.3,65.3,99.2,5.5
Naples,Naples,Naples, Italy,124,25.1,43.9,59.0,61.4,78.6,5.5
Pisa,Pisa,Pisa, Italy,127,20.2,41.2,61.6,57.4,97.3,5.5
Bari,Bari,Bari, Italy,131,20.8,40.5,57.0,58.1,94.7,5.5
Catania,Catania,Catania, Italy,146,14.6,35.3,46.7,56.5,112.0,5.5
Pristina,Pristina,Pristina, Kosovo (Disputed Territory),212,8.4,19.7,29.9,25.5,66.4,2.0
Riga,Riga,Riga, Latvia,133,14.5,36.9,48.4,59.6,82.3,4.0
Vilnius,Vilnius,Vilnius, Lithuania,143,20.1,38.3,45.9,58.3,96.3,4.0
Kaunas,Kaunas,Kaunas, Lithuania,144,13.6,35.2,49.7,59.0,84.1,4.0
Luxembourg,Luxembourg,Luxembourg, Luxembourg,16,54.8,69.1,78.5,90.7,147.2,6.0
Sliema,Sliema,Sliema, Malta,110,39.8,52.8,62.6,71.9,71.4,5.5
Valletta,Valletta,Valletta, Malta,119,35.2,48.9,56.0,67.9,83.9,5.5
Chisinau,Chisinau,Chisinau, Moldova,197,15.8,27.2,33.8,34.0,56.2,1.5
Podgorica,Podgorica,Podgorica, Montenegro,181,16.7,30.9,41.1,43.5,72.1,3.0
Amsterdam,Amsterdam,Amsterdam, Netherlands,14,60.0,72.5,71.5,91.8,129.9,5.5
Haarlem,Haarlem,Haarlem, Netherlands,17,43.5,63.5,70.9,92.9,118.5,5.5
Utrecht,Utrecht,Utrecht, Netherlands,22,44.2,62.5,68.8,79.6,143.7,5.5
Rotterdam,Rotterdam,Rotterdam, Netherlands,29,41.1,59.7,68.2,82.2,126.3,5.5
Delft,Delft,Delft, Netherlands,32,39.5,58.7,70.7,87.1,116.6,5.5
The Hague (Den Haag),The Hague (Den Haag),The Hague (Den Haag), Netherlands,44,43.8,59.6,67.6,79.3,147.5,5.5
Eindhoven,Eindhoven,Eindhoven, Netherlands,50,36.0,55.8,65.5,79.1,139.8,5.5
Leiden,Leiden,Leiden, Netherlands,57,36.3,55.6,67.1,72.8,157.4,5.5
Groningen,Groningen,Groningen, Netherlands,76,28.0,50.5,67.1,75.0,126.7,5.5
Skopje,Skopje,Skopje, North Macedonia,192,9.5,25.3,37.2,32.6,65.5,2.0
Oslo,Oslo,Oslo, Norway,8,39.3,67.5,90.7,99.1,110.8,9.5
Bergen,Bergen,Bergen, Norway,11,29.0,60.3,84.5,98.3,126.9,9.5
Trondheim,Trondheim,Trondheim, Norway,12,29.8,60.3,88.0,89.8,127.6,9.5
Stavanger,Stavanger,Stavanger, Norway,13,37.1,62.4,84.3,89.5,134.9,9.5
Warsaw,Warsaw,Warsaw, Poland,140,28.5,42.3,46.4,52.5,98.9,3.5
Gdansk,Gdansk,Gdansk, Poland,155,21.6,37.2,42.1,51.8,97.1,3.5
Krakow (Cracow),Krakow (Cracow),Krakow (Cracow), Poland,157,22.4,37.4,41.9,50.9,102.8,3.5
Wroclaw,Wroclaw,Wroclaw, Poland,158,21.7,37.1,42.3,51.4,92.8,3.5
Lodz,Lodz,Lodz, Poland,165,15.4,33.1,40.9,49.9,98.0,3.5
Poznan,Poznan,Poznan, Poland,168,19.0,34.2,39.7,47.3,105.3,3.5
Szczecin,Szczecin,Szczecin, Poland,174,16.7,32.2,39.2,43.7,101.3,3.5
Katowice,Katowice,Katowice, Poland,175,15.6,31.7,41.6,46.1,101.6,3.5
Lisbon,Lisbon,Lisbon, Portugal,136,38.6,47.2,50.1,53.1,60.9,3.0
Porto,Porto,Porto, Portugal,159,29.6,40.5,46.5,47.0,68.9,3.0
Coimbra,Coimbra,Coimbra, Portugal,166,20.9,35.5,47.8,42.5,75.8,3.0
Braga,Braga,Braga, Portugal,167,21.0,35.2,46.3,43.8,71.2,3.0
Bucharest,Bucharest,Bucharest, Romania,169,15.6,32.6,42.9,53.4,85.4,2.5
Cluj-Napoca,Cluj-Napoca,Cluj-Napoca, Romania,176,17.4,32.5,42.4,49.1,83.6,2.5
Brasov,Brasov,Brasov, Romania,178,17.2,31.9,40.5,49.6,67.9,2.5
Constanta,Constanta,Constanta, Romania,179,14.8,30.7,39.6,52.0,62.9,2.5
Timisoara,Timisoara,Timisoara, Romania,182,11.7,28.1,38.5,46.9,90.8,2.5
Iasi,Iasi,Iasi, Romania,185,11.7,27.7,39.1,41.2,75.7,2.5
Craiova,Craiova,Craiova, Romania,188,11.0,27.0,37.1,39.7,78.6,2.5
Sibiu,Sibiu,Sibiu, Romania,190,12.2,26.8,36.5,43.8,86.5,2.5
Oradea,Oradea,Oradea, Romania,191,8.8,25.1,37.7,40.1,74.6,2.5
