City,Country,Rank,Rent Index,Cost of Living & Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Estimated Beer Price (€)
Bari, Italy,131,20.8,40.5,57.0,58.1,94.7,5.5
Catania, Italy,146,14.6,35.3,46.7,56.5,112,5.5
Pristina, Kosovo (Disputed Territory),212,8.4,19.7,29.9,25.5,66.4,2
Riga, Latvia,133,14.5,36.9,48.4,59.6,82.3,4
Vilnius, Lithuania,143,20.1,38.3,45.9,58.3,96.3,4
Kaunas, Lithuania,144,13.6,35.2,49.7,59,84.1,4
Luxembourg, Luxembourg,16,54.8,69.1,78.5,90.7,147.2,6
Sliema, Malta,110,39.8,52.8,62.6,71.9,71.4,5.5
Valletta, Malta,119,35.2,48.9,56.0,67.9,83.9,5.5
Chisinau, Moldova,197,15.8,27.2,33.8,34,56.2,1.5
Podgorica, Montenegro,181,16.7,30.9,41.1,43.5,72.1,3
Amsterdam, Netherlands,14,60,72.5,71.5,91.8,129.9,5.5
Haarlem, Netherlands,17,43.5,63.5,70.9,92.9,118.5,5.5
Utrecht, Netherlands,22,44.2,62.5,68.8,79.6,143.7,5.5
Rotterdam, Netherlands,29,41.1,59.7,68.2,82.2,126.3,5.5
Delft, Netherlands,32,39.5,58.7,70.7,87.1,116.6,5.5
The Hague (Den Haag), Netherlands,44,43.8,59.6,67.6,79.3,147.5,5.5
Eindhoven, Netherlands,50,36,55.8,65.5,79.1,139.8,5.5
Leiden, Netherlands,57,36.3,55.6,67.1,72.8,157.4,5.5
Groningen, Netherlands,76,28,50.5,67.1,75,126.7,5.5
Skopje, North Macedonia,192,9.5,25.3,37.2,32.6,65.5,2
Oslo, Norway,8,39.3,67.5,90.7,99.1,110.8,9.5
Bergen, Norway,11,29,60.3,84.5,98.3,126.9,9.5
Trondheim, Norway,12,29.8,60.3,88.0,89.8,127.6,9.5
Stavanger, Norway,13,37.1,62.4,84.3,89.5,134.9,9.5
Warsaw, Poland,140,28.5,42.3,46.4,52.5,98.9,3.5
Gdansk, Poland,155,21.6,37.2,42.1,51.8,97.1,3.5
Krakow (Cracow), Poland,157,22.4,37.4,41.9,50.9,102.8,3.5
Wroclaw, Poland,158,21.7,37.1,42.3,51.4,92.8,3.5
Lodz, Poland,165,15.4,33.1,40.9,49.9,98,3.5
Poznan, Poland,168,19,34.2,39.7,47.3,105.3,3.5
Szczecin, Poland,174,16.7,32.2,39.2,43.7,101.3,3.5
Katowice, Poland,175,15.6,31.7,41.6,46.1,101.6,3.5
Lisbon, Portugal,136,38.6,47.2,50.1,53.1,60.9,3
Porto, Portugal,159,29.6,40.5,46.5,47,68.9,3
Coimbra, Portugal,166,20.9,35.5,47.8,42.5,75.8,3
Braga, Portugal,167,21,35.2,46.3,43.8,71.2,3
Bucharest, Romania,169,15.6,32.6,42.9,53.4,85.4,2.5
Cluj-Napoca, Romania,176,17.4,32.5,42.4,49.1,83.6,2.5
Brasov, Romania,178,17.2,31.9,40.5,49.6,67.9,2.5
Constanta, Romania,179,14.8,30.7,39.6,52,62.9,2.5
Timisoara, Romania,182,11.7,28.1,38.5,46.9,90.8,2.5
Iasi, Romania,185,11.7,27.7,39.1,41.2,75.7,2.5
Craiova, Romania,188,11,27,37.1,39.7,78.6,2.5
Sibiu, Romania,190,12.2,26.8,36.5,43.8,86.5,2.5
Oradea, Romania,191,8.8,25.1,37.7,40.1,74.6,2.5
Moscow, Russia,164,34.1,41.5,40.7,47.3,81.4,2
Vladivostok, Russia,177,16.7,31.9,40.4,43.4,53.6,2
Yekaterinburg, Russia,183,16.2,29.8,37.8,42.5,58.5,2
Saint Petersburg, Russia,186,18.9,30.8,37.4,37.2,74.5,2
Tyumen, Russia,189,14.5,28.1,37.9,41.4,57.5,2
Kazan, Russia,194,13.2,26.3,35.5,35.2,63.1,2
Novosibirsk, Russia,195,12.3,25.9,35.6,33.3,60.8,2
Kaliningrad, Russia,196,11.2,25.2,36.6,34.1,61.1,2
Ufa, Russia,198,10.4,24.7,35.0,38.3,61,2
Samara, Russia,199,11.1,25,32.0,37.4,54,2
Krasnodar, Russia,200,12.2,25.5,32.5,35.7,61.8,2
Nizhny Novgorod, Russia,201,13,25.8,33.7,38.7,58.7,2
Tomsk, Russia,202,10.7,24.6,36.6,28.7,57.5,2
Rostov-on-Don (Rostov-na-donu), Russia,203,11.3,24.8,33.5,37.6,65.9,2
Chelyabinsk, Russia,204,10.4,24.3,34.7,32.4,51.3,2
Perm, Russia,206,11.2,23.4,34.2,29.5,64.7,2
Belgrade, Serbia,163,21.5,36,42.0,52.3,65,2.5
Novi Sad, Serbia,173,14.3,31.3,41.3,45.3,62.9,2.5
Nis, Serbia,193,8.7,24.8,35.4,34.9,67.3,2.5
Bratislava, Slovakia,135,22.9,40.4,52.9,49.9,82.1,3
Kosice, Slovakia,145,23.4,39.3,51.2,48.7,75.5,3
Ljubljana, Slovenia,129,27.2,44,52.8,59,85,3.5
Madrid, Spain,118,36.2,49.4,56.1,63.4,104.1,4
Barcelona, Spain,123,36,48.9,56.0,63.8,95.1,4
Palma de Mallorca, Spain,125,32,47,52.1,64.8,85,4
Bilbao, Spain,134,26.5,42,50.6,62.1,106.3,4
Oviedo, Spain,139,17.7,37.6,53.3,58.4,111.4,4
Malaga, Spain,147,30.6,42.1,49.4,58.3,84,4
Santa Cruz de Tenerife, Spain,148,25.2,39.6,52.6,54.7,93.9,4
Alicante, Spain,150,22.2,38.1,51.8,53.7,105,4
Valencia, Spain,152,28.6,40.8,46.2,58.9,111.6,4
Seville (Sevilla), Spain,154,21.8,37.4,52.3,50,98.8,4
Las Palmas de Gran Canaria, Spain,160,22.8,37.5,53.6,47.4,93.8,4
Granada, Spain,161,18.6,35.4,47.1,49.9,108.1,4
Stockholm, Sweden,19,36.1,59.7,72.8,82,116.9,7.5
Malmo, Sweden,66,26.4,50.4,72.2,72.8,129.5,7.5
Gothenburg, Sweden,75,25.4,49.4,68.0,76.5,154.7,7.5
Uppsala, Sweden,79,22.6,48.1,70.6,70.4,128.4,7.5
Lund, Sweden,103,23.9,47,68.2,69.7,134.1,7.5
Zurich, Switzerland,1,70.6,97.1,115.4,121,164.4,9
Geneva, Switzerland,2,65.1,93.6,114.3,121.8,158.5,9
Basel, Switzerland,3,49.6,84.4,110.4,114.9,183.7,9
Lausanne, Switzerland,4,55,86.3,108.9,116.2,163.7,9
Lugano, Switzerland,5,47,81.9,107.3,125.3,153.6,9
Bern, Switzerland,6,46.8,81.8,107.3,110.2,174.4,9
Kiev (Kyiv), Ukraine,208,13.7,23.8,32.2,31,58.7,1.5
Dnipro, Ukraine,209,10.3,21.8,28.7,36.6,44.3,1.5
Odessa (Odesa), Ukraine,210,7,19.6,29.5,28.5,46.2,1.5
Lviv, Ukraine,211,11,21.2,29.6,27.4,53.9,1.5
Kharkiv, Ukraine,213,5.5,17.3,27.3,24.8,51.7,1.5
London, United Kingdom,9,70.1,79.7,68.9,89.7,117.5,6.8
Oxford, United Kingdom,25,47.9,63.6,68.0,88.8,113.5,6.8
Guildford, United Kingdom,27,42.4,60.7,71.5,76.7,120,6.8
Brighton, United Kingdom,30,42.9,60.4,67.7,79.9,111.1,6.8
Cambridge, United Kingdom,34,45.5,61.3,66.4,82.8,124,6.8
Edinburgh, United Kingdom,43,37.9,57.3,65.6,84.2,118.6,6.8
Reading, United Kingdom,55,40.4,57.5,62.5,83.7,124.1,6.8
Bristol, United Kingdom,58,42.2,58.2,65.8,79.9,113.8,6.8
Southampton, United Kingdom,61,34.6,54.4,64.0,82.8,119.1,6.8
Manchester, United Kingdom,64,40.1,56.7,67.8,75.3,114.1,6.8
Birmingham, United Kingdom,77,30.8,51.7,64.7,69.7,124.5,6.8
Leeds, United Kingdom,80,31.1,51.8,66.7,71.2,116.4,6.8
Glasgow, United Kingdom,85,33.8,52.7,64.3,72.2,124.7,6.8
Newcastle upon Tyne, United Kingdom,86,27.9,49.9,62.3,77.4,148.3,6.8
Milton Keynes, United Kingdom,88,35.6,53.2,59.4,70.9,123.4,6.8
York, United Kingdom,90,32.7,51.8,61.8,81.6,124.3,6.8
Cardiff, United Kingdom,91,32.1,51.4,66.2,72.6,119.4,6.8
Bournemouth, United Kingdom,92,36.2,53.3,58.0,73.6,116.4,6.8
Liverpool, United Kingdom,98,27.6,48.9,60.8,75.6,127.2,6.8
Belfast, United Kingdom,99,26.7,48.4,67.5,74.6,113.4,6.8
Nottingham, United Kingdom,104,26.3,47.9,64.8,66.4,129.2,6.8
Coventry, United Kingdom,105,30.6,49.5,66.1,68.9,133.9,6.8
Sheffield, United Kingdom,111,26.3,46.7,56.3,68.4,132.7,6.8
